"region","grupa","koef_zaetost","godina"
"Хасково","zheni",55.8,"2013"
"Общо","obshto",61,"2014"
"Северозападен","obshto",55,"2014"
"Видин","obshto",55.3,"2014"
"Враца","obshto",52.9,"2014"
"Ловеч","obshto",51,"2014"
"Монтана","obshto",55.9,"2014"
"Плевен","obshto",58,"2014"
"Северен централен","obshto",57.4,"2014"
"Велико Търново","obshto",60,"2014"
"Габрово","obshto",66.1,"2014"
"Разград","obshto",52.8,"2014"
"Русе","obshto",56.6,"2014"
"Силистра","obshto",50,"2014"
"Североизточен","obshto",59.8,"2014"
"Варна","obshto",61.8,"2014"
"Добрич","obshto",61.2,"2014"
"Търговище","obshto",51.2,"2014"
"Шумен","obshto",58.7,"2014"
"Югоизточен","obshto",58,"2014"
"Бургас","obshto",60.3,"2014"
"Сливен","obshto",52.4,"2014"
"Стара Загора","obshto",58,"2014"
"Ямбол","obshto",58.8,"2014"
"Югозападен","obshto",66.1,"2014"
"Благоевград","obshto",62.6,"2014"
"Кюстендил","obshto",57.4,"2014"
"Перник","obshto",61.6,"2014"
"София","obshto",59.6,"2014"
"София (столица)","obshto",69.2,"2014"
"Южен централен","obshto",61.5,"2014"
"Кърджали","obshto",61.1,"2014"
"Пазарджик","obshto",59.6,"2014"
"Пловдив","obshto",62.2,"2014"
"Смолян","obshto",61.2,"2014"
"Хасково","obshto",61.9,"2014"
"Общо","myzhe",63.9,"2014"
"Северозападен","myzhe",55.4,"2014"
"Видин","myzhe",55,"2014"
"Враца","myzhe",54.6,"2014"
"Ловеч","myzhe",50.4,"2014"
"Монтана","myzhe",56.4,"2014"
"Плевен","myzhe",58,"2014"
"Северен централен","myzhe",61,"2014"
"Велико Търново","myzhe",62.9,"2014"
"Габрово","myzhe",69.3,"2014"
"Разград","myzhe",58.1,"2014"
"Русе","myzhe",58.4,"2014"
"Силистра","myzhe",56.8,"2014"
"Североизточен","myzhe",64,"2014"
"Варна","myzhe",67.7,"2014"
"Добрич","myzhe",63.8,"2014"
"Търговище","myzhe",52.4,"2014"
"Шумен","myzhe",61.9,"2014"
"Югоизточен","myzhe",63.1,"2014"
"Бургас","myzhe",67,"2014"
"Сливен","myzhe",54.1,"2014"
"Стара Загора","myzhe",63.4,"2014"
"Ямбол","myzhe",62.9,"2014"
"Югозападен","myzhe",67.7,"2014"
"Благоевград","myzhe",61.8,"2014"
"Кюстендил","myzhe",56.3,"2014"
"Перник","myzhe",62.9,"2014"
"София","myzhe",65.3,"2014"
"София (столица)","myzhe",71,"2014"
"Южен централен","myzhe",64.7,"2014"
"Кърджали","myzhe",61.3,"2014"
"Пазарджик","myzhe",66.1,"2014"
"Пловдив","myzhe",64.9,"2014"
"Смолян","myzhe",63.2,"2014"
"Хасково","myzhe",65.9,"2014"
"Общо","zheni",58.2,"2014"
"Северозападен","zheni",54.7,"2014"
"Видин","zheni",55.6,"2014"
"Враца","zheni",51.1,"2014"
"Ловеч","zheni",51.5,"2014"
"Монтана","zheni",55.4,"2014"
"Плевен","zheni",58.1,"2014"
"Северен централен","zheni",53.8,"2014"
"Велико Търново","zheni",57,"2014"
"Габрово","zheni",62.8,"2014"
"Разград","zheni",47.3,"2014"
"Русе","zheni",54.7,"2014"
